start,end,text,引導,評估(口語、跟讀的內容有關),評估(非口語、寶寶自發性動作、跟讀的內容有關),延伸討論,複述,開放式問題,填空,回想,人事時地物問句,連結生活經驗,備註
00:00,00:01,開始拍攝喔,,,,,,,,,,,
00:01,00:01,好,,,,,,,,,,,
00:01,00:02,開始,,,,,,,,,,,
00:02,00:03,來一張,,,,,,1,,,,,
00:05,00:06,這是什麼啊,,1,,,,,,,,,
00:07,00:08,熊熊對不對,1,,1,,,,,,,,寶寶手指熊
00:10,00:11,要摸摸嗎( 寶寶手指熊),1,,1,,,,,,,,寶寶手摸熊
00:13,00:14,摸摸牠的肚子( 寶寶手摸熊),1,,1,,,,,,,,寶寶手摸熊
00:16,00:17,戳戳戳( 寶寶手摸熊),,,,,,,,,,,
00:19,00:19,戳牠的肚子( 寶寶手摸熊),,,,,,,,,,,
00:19,00:20,戳戳戳戳( 寶寶手摸熊),,,,,,,,,,,
00:21,00:22,戳戳戳( 寶寶手摸熊),,,1,,,,,,,,寶寶手摸熊
00:23,00:24,你要幫我翻頁嗎( 寶寶翻頁),1,,1,,,1,,,,,寶寶翻頁
00:27,00:28,好,,,,,,,,,,,
00:28,00:29,熊熊,,,,,1,,,,,,
00:29,00:31,大耳朵的大象在哪裡,,,,,,,,,1,,
00:31,00:33,在積木的後面嗎( 寶寶翻開小頁),,,1,,,1,,,,,寶寶翻開小頁
00:37,00:38,哇大象耶,,,1,,1,,,,,,
00:39,00:40,你要摸牠嗎,1,,,,,1,,,,,
00:41,00:42,輕輕摸好不好,1,,,,,,,,,,
00:44,00:45,輕輕摸,,,,,,,,,,,
00:45,00:46,你再去戳戳( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:46,00:47,戳戳戳( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:47,00:48,戳戳戳,,,,,,,,,,,
00:48,00:49,戳戳戳,,,,,,,,,,,
00:52,00:53,摸摸( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:53,00:54,小鬆摸( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:54,00:55,輕輕摸( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:55,00:56,輕輕摸( 媽媽拿寶寶手摸大象),1,,1,,,,,,,,媽媽拿寶寶手摸大象
00:57,00:58,對,,,,,,,,,,,
00:58,00:59,輕輕摸,,,,,,,,,,,
00:59,01:00,輕輕摸,,,,,,,,,,,
01:00,01:01,輕輕摸( 寶寶關上小頁),,,1,,,,,,,,寶寶關上小頁
01:05,01:06,喔大象在哪裡欸( 寶寶翻開小頁),,,1,,,1,,,1,,寶寶翻開小頁
01:09,01:10,下一個是什麼( 寶寶翻開小頁),1,,1,,,1,,,1,,寶寶翻開小頁
01:11,01:12,翻頁,1,,,,,,,,,,
01:12,01:13,不要,,,,,,,,,,,
01:13,01:14,你喜歡大象,,1,,,,,,,,,
01:15,01:16,喔好長長的鼻子( 寶寶摸大象),,1,1,1,,,,,,,寶寶摸大象
01:19,01:20,大象,1,,,,1,,,,,,
01:24,01:25,恩這是什麼( 寶寶關上小頁),,,,,,,,,,,
01:25,01:26,積木( 寶寶翻開小頁),1,1,,,1,,,,,,寶寶翻開小頁
01:29,01:30,翻頁喔 不要 ( 寶寶翻開小頁),1,,,,,,,,,,寶寶翻開小頁
01:30,01:31,你喜歡大象嗎( 寶寶摸大象),1,,1,,,1,,,1,,寶寶摸大象
01:33,01:34,,,,,,,,,,,,
01:34,01:35,,,,,,,,,,,,
01:35,01:36,,,,,,,,,,,,
01:38,01:39,大象喔,1,1,,,1,,,,,,
01:43,01:44,下一個是什麼呢,1,,,,,1,,,,,
01:46,01:47,下一個是什麼,1,,,,,1,,,,,
01:48,01:49,可愛的小海馬在帽子的後面嗎,,,,,,,,,,,
01:51,01:52,這是橘色的帽子,1,,,,,,,,,,
01:52,01:53,找到了( 寶寶翻開小頁),,,1,,,,,,,,寶寶行為
01:55,01:56,你還要輕輕摸牠嗎( 寶寶摸馬),1,,1,,,1,,,,,寶寶行為
01:56,01:58,小馬嗎( 媽媽拿寶寶手摸馬),1,,1,,1,1,,,,,媽媽引導寶寶摸馬
02:00,02:02,輕輕摸,1,1,,,1,,,,,,
02:02,02:04,輕輕摸,1,1,,,1,,,,,,
02:04,02:06,你對小馬沒興趣,,1,,,,,,,,,
02:06,02:08,那我們翻下一個,1,,,,,,,,,,
02:08,02:10,這個是什麼,1,,,,,1,,,1,,
