start,end,text,論點清晰,邏輯性（易於理解）,互動性,延伸議題深度與廣度,延伸問題,不確定性,批判性思維,引用其他著作,開放式問題,總結
00:00,00:03,我們今天討論的主題是量化投資模型在實務中的應用。,,,,,,,,,,
00:03,00:06,首先，我們來看一下Black-Scholes模型的基本假設。,1,0,0,,0,0,0,1,0,0
00:06,00:09,這個模型假設市場是連續交易、無摩擦的，且資產價格服從幾何布朗運動。,1,0,0,,0,0,0,0,0,0
00:09,00:12,那麼，這些假設在現實市場中是否成立呢？,1,0,0,,1,0,0,0,1,0
00:12,00:15,有沒有研究指出在某些市場狀況下，這些假設不適用？,1,0,0,,0,0,0,0,0,0
00:15,00:18,是的，像是市場跳躍風險與波動率微笑都是模型限制的例子。,1,0,0,,0,0,0,0,0,0
00:18,00:21,我想補充一下，其實像Heston模型就試圖解決波動率常數的問題。,1,0,0,,0,0,0,1,0,0
00:21,00:24,這個模型引入了隨機波動率的概念，提升了實務應用的彈性。,1,0,0,,0,0,0,0,0,0
00:24,00:27,你覺得在實務交易中，使用這些進階模型是否有其限制？,1,0,0,,1,0,0,0,1,0
00:27,00:30,當然，因為這些模型的參數估計非常依賴歷史資料，可能會有過度擬合的風險。,,,,,,,,,,
00:30,00:33,那有沒有一個平衡的做法，既保留模型彈性又不過度複雜？,1,1,,1,1,,1,,1,
00:33,00:36,我們可以考慮使用模型組合的方法，像是混合蒙地卡羅與歷史模擬。,1,1,,1,,,,,,
00:36,00:39,這邊我有個問題，混合模型如何處理尾端風險？,1,1,1,,,,,,,
00:39,00:42,這個問題很好，實際上我們可以加入Copula方法來模擬極端相關性。,1,1,1,1,,,,,,
00:42,00:45,我想提到的另一個觀點是模型透明度的重要性。,1,1,,1,,,,,,
00:45,00:48,是的，尤其是在金融監管越來越嚴格的情況下。,1,1,1,,,,,,,
00:48,00:51,那你覺得金融工程師在模型建構之外，還需要什麼能力？,1,1,,1,1,,,,,
00:51,00:54,我認為與市場結構、交易制度的理解也非常重要。,1,1,,1,,,,,,
00:54,00:57,像高頻交易就非常依賴微觀市場結構的資訊。,1,1,,1,,,,,,
00:57,01:00,高頻交易是否也涉及到機器學習的應用？,1,1,,1,1,,,,,
01:00,01:03,沒錯，近年來許多交易策略都結合了深度學習方法。,,,,,,,,,,
01:03,01:06,你們在研究中有使用過強化學習嗎？,1,1,1,0,1,0,0,0,0,0
01:06,01:09,有的，我們做過以Q-Learning為基礎的交易策略模擬。,1,1,1,1,0,0,0,0,0,0
01:09,01:12,但我們發現，實務應用上仍需考慮交易成本與滑價問題。,1,1,0,1,0,0,0,0,0,0
01:12,01:15,我覺得這點很重要，因為回測表現不一定代表未來成效。,1,1,1,1,0,0,1,0,0,0
01:15,01:18,你們如何處理模型的Overfitting問題？,1,1,1,0,1,0,0,0,0,0
01:18,01:21,我們使用交叉驗證與早停法，並且強調模型可解釋性。,1,1,1,1,0,0,0,0,0,0
01:21,01:24,可解釋性是個好點，特別是在風控模型中。,1,1,1,1,0,0,0,0,0,0
01:24,01:27,這讓我想到信用風險評估模型，也需兼顧可解釋性。,,,,,,,,,,
01:27,01:30,對，像Logistic Regression還是受到偏好就是因為容易理解。,,,,,,,,,,
01:30,01:33,那在你們公司中，有使用像XGBoost這類黑箱模型嗎？,1,1,0,0,0,0,0,0,1,0
01:33,01:36,有的，但我們會在風控報告中補充重要變數的影響解釋。,1,1,1,1,0,0,0,0,0,0
01:36,01:39,你們如何取得交易資料做訓練？,1,1,0,0,0,0,0,0,1,0
01:39,01:42,我們使用Bloomberg API與內部交易記錄整合的資料庫。,1,1,1,1,0,0,0,0,0,0
01:42,01:45,在資料清洗過程中會遇到什麼挑戰？,1,1,0,0,0,0,0,0,1,0
01:45,01:48,主要是資料缺漏與異常值處理，還有資料格式標準化。,1,1,1,1,0,0,0,0,0,0
01:48,01:51,你們有針對異常偵測設計過自動化流程嗎？,1,1,0,0,0,0,0,0,1,0
01:51,01:54,我們有建構一套基於Isolation Forest的偵測系統。,1,1,1,1,0,0,0,0,0,0
01:54,01:57,除了模型準確率外，你們還會評估哪些績效指標？,1,1,0,0,0,0,0,0,1,0
01:57,02:00,像是Precision-Recall、Sharpe Ratio、最大回落等。,1,1,1,1,0,0,0,0,0,0
02:00,02:03,感謝你的分享，我想請問最後一個問題。,0,0,0,0,0,0,0,0,0,0
02:03,02:06,你認為未來金融工程最大的發展挑戰是什麼？,0,0,0,0,1,0,0,0,0,0
02:06,02:09,我認為是如何將AI技術落實在實務中，並兼顧監管要求與風險控管。,1,1,0,1,0,0,0,0,0,1
02:09,02:12,非常精彩的總結，謝謝大家今天的參與。,,,,,,,,,,
